Block send with Locker,Zablokuj wysyłkę do Paczkomatu
Block send with InPost Courier,Zablokuj wysyłkę kurierem InPost
Block send with InPost Palette,Zablokuj wysyłkę kurierem InPost na palecie
Show only delivery in weekend,Pokazuj tylko Paczkę w Weekend gdy aktywna
"If set on Yes, normal parcel delivery will be hidden if weekend delivery will be available","Jeśli ustawiona na Tak to zwykła dostawa do Paczkomatu będzie ukrywana gdy dostawa w weekend będzie aktywna"
Method name,Nazwa metody
Max cart weight,Maksymalna waga koszyka
"The default value of 25 refers to the maximum weight of a package that Inpost delivers in kilograms. If you use a different unit, adjust this value and set the appropriate unit in the ""Inpost - general configuration"" section",Domyślna wartość 25 odnosi się do maksymalnej wagi paczki jaką InPost dostarcza wyrażonej w kilogramach. Jeśli używasz innej jednostki dostosuj tą wartość oraz ustaw odpowiednią jednostkę w sekcji ""Inpost - konfiguracja ogólna""
Default way of sending,Domyślny sposób nadania
Default sending point,Domyślny punkt nadania
Day of the week starting delivery in weekend,Dzień tygodnia startu dostawy w weekend
Day of the week ending delivery in weekend,Dzień tygodnia końca dostawy w weekend
Hour starting delivery in weekend,Godzina startu Paczki w Weekend
Hour ending delivery in weekend,Godzina końca Paczki w Weekend
Monday,Poniedziałek
Tuesday,Wtorek
Wednesday,Środa
Thursday,Czwartek
Friday,Piątek
Saturday,Sobota
Sunday,Niedziela
Organization ID,ID organizacji
Access Token,Token dostępu
Geowidget Token,Token geowidgetu
Label format,Format etykiety
Label size,Rozmiar etykiety
Automatically create order shipment,Automatycznie twórz przesyłkę do zamówienia
Order shipment will be created after receiving InPost tracking number,Przesyłka do zamówienia zostanie utworzona po otrzymaniu numeru śledzenia z API InPostu
Notify customer about order shipment,Powiadamiaj klienta o utworzeniu przesyłki do zamówienia
After creating order shipment change order status to,Po utworzeniu przesyłki do zamówienia zmień status zamówienia na
You can't create an shipment for order %1.,Nie można utworzyć przesyłki do zamówienia %1.
Change sender's address,Zmiana adresu nadawcy
Sender - name,Nadawca - Imię
Sender - surname,Nadawca - Nazwisko
Sender - company,Nadawca - nazwa firmy
Sender - email,Nadawca - email
Sender - phone,Nadawca - telefon
Sender - street,Nadawca - ulica
Sender - building number,Nadawca - numer budynku
Sender - city,Nadawca - miasto
Sender - postcode,Nadawca - kod pocztowy
Sender - country code,Nadawca - kod kraju
Generate shipping in order after generating InPost package,Czy generować wysyłkę w zamówieniu po wygenerowaniu przesyłki InPost
After generate package send email to customer,Czy generowanie przesyłki ma wysyłać również maila do klienta
Become a partner(SzybkieZwroty.pl),Zostań Partnerem (SzybkieZwroty.pl)
"<a href=""https://szybkiezwroty.pl/pl/business#navigate-buttons"">Become a partner</a>","<a href=""https://szybkiezwroty.pl/pl/business#navigate-buttons"">Zostań partnerem</a>"
Url for szybkiezwroty, Adres URL do szybkiezwroty.pl
Weight attribute code,Kod cechy produktu z wagą
Weight unit,Jednostka wagi
Automatic insurance for generated package,Generowane przesyłki automatycznie ubezpieczaj
Default pickup point,Domyślny punkt odbioru
Kilograms,Kilogramy
Grams,Gramy
Target Locker,Paczkomat docelowy
Cash on Delivery Value,Wartość pobrania
Insurance Value,Wartość ubezpieczenia
Reference Number,Numer referencyjny
Sending Method,Sposób nadania
Order Number,Numer zamówienia
Width (mm),Szerokość (milimetry)
Length (mm),Długość (milimetry)
Height (mm),Wysokość (milimetry)
Service,Usługa
Size,Gabaryt
New Shipment,Nowa przesyłka
Shipment Details,Szczegóły przesyłki
Print label,Wydrukuj etykietę
Print return label,Wydrukuj etykietę zwrotu
